show_id,type,title,date_added,release_year,rating,duration
s1,Movie,Dick Johnson Is Dead,25-Sep-21,2020,PG-13,90 min
s2,TV Show,Blood & Water,24-Sep-21,2021,TV-MA,2 Seasons
s3,TV Show,Ganglands,24-Sep-21,2021,TV-MA,1 Season
s4,TV Show,Jailbirds New Orleans,24-Sep-21,2021,TV-MA,1 Season
s5,TV Show,Kota Factory,24-Sep-21,2021,TV-MA,2 Seasons
s6,TV Show,Midnight Mass,24-Sep-21,2021,TV-MA,1 Season
s7,Movie,My Little Pony: A New Generation,24-Sep-21,2021,PG,91 min
s8,Movie,Sankofa,24-Sep-21,1993,TV-MA,125 min
s9,TV Show,The Great British Baking Show,24-Sep-21,2021,TV-14,9 Seasons
s10,Movie,The Starling,24-Sep-21,2021,PG-13,104 min
s12,TV Show,Bangkok Breaking,23-Sep-21,2021,TV-MA,1 Season
s13,Movie,Je Suis Karl,23-Sep-21,2021,TV-MA,127 min
s14,Movie,Confessions of an Invisible Girl,22-Sep-21,2021,TV-PG,91 min
s15,TV Show,Crime Stories: India Detectives,22-Sep-21,2021,TV-MA,1 Season
s16,TV Show,Dear White People,22-Sep-21,2021,TV-MA,4 Seasons
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,22-Sep-21,2020,TV-MA,67 min
s18,TV Show,Falsa identidad,22-Sep-21,2020,TV-MA,2 Seasons
s19,Movie,Intrusion,22-Sep-21,2021,TV-14,94 min
s20,TV Show,Jaguar,22-Sep-21,2021,TV-MA,1 Season
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,22-Sep-21,2021,TV-14,1 Season
s22,TV Show,Resurrection: Ertugrul,22-Sep-21,2018,TV-14,5 Seasons
s23,Movie,Avvai Shanmughi,21-Sep-21,1996,TV-PG,161 min
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,21-Sep-21,2021,TV-Y,61 min
s25,Movie,Jeans,21-Sep-21,1998,TV-14,166 min
s26,TV Show,Love on the Spectrum,21-Sep-21,2021,TV-14,2 Seasons
s27,Movie,Minsara Kanavu,21-Sep-21,1997,TV-PG,147 min
s28,Movie,Grown Ups,20-Sep-21,2010,PG-13,103 min
s29,Movie,Dark Skies,19-Sep-21,2013,PG-13,97 min
s30,Movie,Paranoia,19-Sep-21,2013,PG-13,106 min
s31,Movie,Ankahi Kahaniya,17-Sep-21,2021,TV-14,111 min
s32,TV Show,Chicago Party Aunt,17-Sep-21,2021,TV-MA,1 Season
s33,TV Show,Sex Education,17-Sep-21,2020,TV-MA,3 Seasons
s34,TV Show,Squid Game,17-Sep-21,2021,TV-MA,1 Season
s35,TV Show,Tayo and Little Wizards,17-Sep-21,2020,TV-Y7,1 Season
s36,Movie,The Father Who Moves Mountains,17-Sep-21,2021,TV-MA,110 min
s37,Movie,The Stronghold,17-Sep-21,2021,TV-MA,105 min
s38,TV Show,Angry Birds,16-Sep-21,2018,TV-Y7,1 Season
s39,Movie,Birth of the Dragon,16-Sep-21,2017,PG-13,96 min
s40,TV Show,Chhota Bheem,16-Sep-21,2021,TV-Y7,3 Seasons
s41,TV Show,He-Man and the Masters of the Universe,16-Sep-21,2021,TV-Y7,1 Season
s42,Movie,Jaws,16-Sep-21,1975,PG,124 min
s43,Movie,Jaws 2,16-Sep-21,1978,PG,116 min
s44,Movie,Jaws 3,16-Sep-21,1983,PG,98 min
s45,Movie,Jaws: The Revenge,16-Sep-21,1987,PG-13,91 min
s46,Movie,My Heroes Were Cowboys,16-Sep-21,2021,PG,23 min
s47,Movie,Safe House,16-Sep-21,2012,R,115 min
s48,TV Show,The Smart Money Woman,16-Sep-21,2020,TV-MA,1 Season
s49,Movie,Training Day,16-Sep-21,2001,R,122 min
s50,TV Show,Castle and Castle,15-Sep-21,2021,TV-MA,2 Seasons
s51,TV Show,Dharmakshetra,15-Sep-21,2014,TV-PG,1 Season
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,15-Sep-21,2002,TV-14,99 min
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,15-Sep-21,2003,TV-14,99 min
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,15-Sep-21,2004,TV-PG,88 min
s55,Movie,InuYasha the Movie: Affections Touching Across Time,15-Sep-21,2001,TV-PG,100 min
s56,TV Show,Nailed It,15-Sep-21,2021,TV-PG,6 Seasons
s57,Movie,Naruto Shippuden the Movie: Blood Prison,15-Sep-21,2011,TV-14,102 min
s58,Movie,Naruto Shippûden the Movie: Bonds,15-Sep-21,2008,TV-PG,93 min
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,15-Sep-21,2009,TV-PG,96 min
s60,Movie,Naruto Shippuden: The Movie,15-Sep-21,2007,TV-PG,95 min
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,15-Sep-21,2010,TV-14,85 min
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,15-Sep-21,2005,TV-PG,97 min
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,15-Sep-21,2006,TV-PG,95 min
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,15-Sep-21,2004,TV-PG,83 min
s65,Movie,Nightbooks,15-Sep-21,2021,TV-PG,103 min
s66,TV Show,Numberblocks,15-Sep-21,2021,TV-Y,6 Seasons
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,15-Sep-21,2014,TV-G,1 Season
s68,TV Show,Saved by the Bell,15-Sep-21,1994,TV-PG,9 Seasons
s69,Movie,Schumacher,15-Sep-21,2021,TV-14,113 min
s70,TV Show,Stories by Rabindranath Tagore,15-Sep-21,2015,TV-PG,1 Season
s71,TV Show,Too Hot To Handle: Latino,15-Sep-21,2021,TV-MA,1 Season
s72,Movie,A StoryBots Space Adventure,14-Sep-21,2021,TV-Y,13 min
s73,TV Show,Jack Whitehall: Travels with My Father,14-Sep-21,2021,TV-MA,5 Seasons
s74,Movie,King of Boys,14-Sep-21,2018,TV-MA,182 min
s75,TV Show,The World's Most Amazing Vacation Rentals,14-Sep-21,2021,TV-PG,2 Seasons
s76,Movie,You vs. Wild: Out Cold,14-Sep-21,2021,TV-G,106 min
s77,TV Show,Yowamushi Pedal,14-Sep-21,2013,TV-14,1 Season
s78,Movie,Little Singham - Black Shadow,11-Sep-21,2021,TV-Y7,48 min
